"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","conn.in_enc_timed","conn.ou_enc_timed","conn.in_enc_count","conn.ou_enc_count","conn.in_tsize","conn.ou_tsize","conn.in_asize","conn.ou_asize","conn.in_rateps","conn.ou_rateps","attack"
"Tcp","4","75844","54","80","-1","16","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75845","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75847","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75848","54","80","-1","17","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75850","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75851","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75852","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75853","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75854","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75855","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75856","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75857","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75858","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75859","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75859","66","80","-1","2","0","-1","1","1","66","60","66.0","60.0","1.0","1.0","false"
"Tcp","4","75859","729","80","-1","24","70000","-1","3","1","849","60","283.0","60.0","3.0","1.0","false"
"Icmp","4","75860","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75861","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75862","54","80","-1","16","91000","100000","5","8","957","25258","191.0","3157.0","2.5","4.0","false"
"Tcp","4","75862","54","80","-1","16","83000","889000","7","9","1065","28031","152.0","3114.0","3.5","4.5","false"
"Tcp","4","75862","54","80","-1","16","31000","24391000","9","10","1173","28091","130.0","2809.0","4.5","5.0","false"
"Tcp","4","75862","54","80","-1","16","55000","195773000","11","11","1281","28349","116.0","2577.0","5.5","5.5","false"
"Tcp","4","75862","66","80","-1","2","0","-1","1","0","66","0","66.0","0.0","1.0","0.0","false"
"Tcp","4","75862","66","80","-1","2","0","-1","1","0","66","0","66.0","0.0","1.0","0.0","false"
"Tcp","4","75862","54","80","-1","16","3080000","-1","2","0","120","0","60.0","0.0","2.0","0.0","false"
