"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_rateps","attack"
"Tcp","4","75844","54","80","-1","16","0","1","54","54.0","1.0","false"
"Icmp","4","75845","74","-1","-1","-1","1002653000","3","222","74.0","1.5","false"
"Icmp","4","75847","74","-1","-1","-1","1001694000","5","370","74.0","1.25","false"
"Tcp","4","75848","54","80","-1","17","5001068000","2","108","54.0","0.4","false"
"Icmp","4","75850","74","-1","-1","-1","1710135000","3","182","60.0","0.5","false"
"Icmp","4","75851","74","-1","-1","-1","999690000","4","256","64.0","0.5714285714285714","false"
"Icmp","4","75852","74","-1","-1","-1","1000656000","5","330","66.0","0.625","false"
"Icmp","4","75853","74","-1","-1","-1","1000635000","6","404","67.0","0.6666666666666666","false"
"Icmp","4","75854","74","-1","-1","-1","1000695000","7","478","68.0","0.7","false"
"Icmp","4","75855","74","-1","-1","-1","999660000","8","552","69.0","0.7272727272727273","false"
"Icmp","4","75856","74","-1","-1","-1","1000672000","9","626","69.0","0.75","false"
"Icmp","4","75857","74","-1","-1","-1","999650000","10","700","70.0","0.7692307692307693","false"
"Icmp","4","75858","74","-1","-1","-1","1000909000","11","774","70.0","0.7857142857142857","false"
"Icmp","4","75859","74","-1","-1","-1","1000445000","12","848","70.0","0.8","false"
"Tcp","4","75859","66","80","-1","2","358244000","13","914","70.0","0.8125","false"
"Tcp","4","75859","729","80","-1","24","70000","15","1697","113.0","0.9375","false"
"Icmp","4","75860","74","-1","-1","-1","1001671000","18","1332","74.0","1.0588235294117647","false"
"Icmp","4","75861","74","-1","-1","-1","1001775000","19","1406","74.0","1.0555555555555556","false"
"Tcp","4","75862","54","80","-1","16","91000","19","1953","102.0","1.0555555555555556","false"
"Tcp","4","75862","54","80","-1","16","83000","21","2061","98.0","1.1666666666666667","false"
"Tcp","4","75862","54","80","-1","16","31000","23","2169","94.0","1.2777777777777777","false"
"Tcp","4","75862","54","80","-1","16","55000","25","2277","91.0","1.3888888888888888","false"
"Tcp","4","75862","66","80","-1","2","1921000","27","2397","88.0","1.5","false"
"Tcp","4","75862","66","80","-1","2","35000","29","2529","87.0","1.6111111111111112","false"
"Tcp","4","75862","54","80","-1","16","64000","31","2649","85.0","1.631578947368421","false"
"Tcp","4","75862","54","80","-1","16","2877000","34","3463","101.0","1.7894736842105263","false"
"Http","4","75862","715","80","-1","24","87000","35","4178","119.0","1.8421052631578947","false"
"Tcp","4","75862","66","80","-1","2","35000","37","4984","134.0","1.9473684210526316","false"
"Http","4","75863","686","80","-1","24","32000","39","5724","146.0","2.0526315789473686","false"
"Http","4","75863","694","80","-1","24","49000","41","6472","157.0","2.1578947368421053","false"
"Http","4","75863","687","80","-1","24","2837000","43","7848","182.0","2.263157894736842","false"
"Http","4","75863","719","80","-1","24","3959000","45","9265","205.0","2.3684210526315788","false"
"Tcp","4","75863","54","80","-1","16","6714000","47","10029","213.0","2.473684210526316","false"
"Tcp","4","75863","54","80","-1","16","84000","49","10137","206.0","2.5789473684210527","false"
"Http","4","75863","785","80","-1","24","23879000","51","10976","215.0","2.6842105263157894","false"
"Http","4","75863","800","80","-1","24","1987000","53","12613","237.0","2.789473684210526","false"
"Tcp","4","75863","54","80","-1","16","109113000","55","13410","243.0","2.75","false"
"Tcp","4","75863","66","21","-1","2","158597000","57","13550","237.0","2.85","false"
"Tcp","4","75863","54","21","-1","16","3993000","59","13658","231.0","2.95","false"
"Icmp","4","75863","74","-1","-1","-1","1002566000","20","1480","74.0","1.0","false"
"Tcp","4","75863","66","21","-1","2","154130000","62","13848","223.0","3.1","false"
"Tcp","4","75864","54","21","-1","16","3984000","64","13956","218.0","3.2","false"
"Tcp","4","75864","54","80","-1","17","671983000","21","1534","73.0","1.05","false"
"Tcp","4","75864","54","80","-1","16","5426000","23","1654","71.0","1.15","false"
"Icmp","4","75864","74","-1","-1","-1","105050000","66","14100","213.0","3.3","false"
"Icmp","4","75864","74","-1","-1","-1","323051000","25","2532","101.0","1.25","false"
"Tcp","4","75864","54","21","-1","17","3988000","70","14328","204.0","3.5","false"
"Tcp","4","75864","66","21","-1","2","3988000","70","14328","204.0","3.5","false"
"Tcp","4","75864","54","21","-1","16","3988000","70","14328","204.0","3.5","false"
"Tcp","4","75864","54","21","-1","16","3988000","70","14328","204.0","3.5","false"
"Icmp","4","75864","74","-1","-1","-1","337184000","72","14472","201.0","3.6","false"
"Tcp","4","75864","54","80","-1","16","107343000","74","14580","197.0","3.5238095238095237","false"
"Tcp","4","75864","54","80","-1","16","3932000","76","14688","193.0","3.619047619047619","false"
"Tcp","4","75864","54","80","-1","16","34000","78","14796","189.0","3.7142857142857144","false"
"Tcp","4","75864","54","21","-1","17","43925000","80","14904","186.0","3.8095238095238093","false"
"Icmp","4","75864","74","-1","-1","-1","5982000","27","2660","98.0","1.2857142857142858","false"
"Tcp","4","75865","54","21","-1","16","4003000","83","15078","181.0","3.9523809523809526","false"
"Tcp","4","75865","70","21","-1","24","67000","84","15148","180.0","4.0","false"
"Tcp","4","75865","54","21","-1","17","573835000","85","15202","178.0","4.0476190476190474","false"
"Tcp","4","75865","66","21","-1","2","142360000","87","15342","176.0","4.142857142857143","false"
"Tcp","4","75865","54","21","-1","16","4058000","89","15450","173.0","4.045454545454546","false"
"Icmp","4","75865","74","-1","-1","-1","332164000","29","3538","122.0","1.3181818181818181","false"
"Tcp","4","75866","66","21","-1","2","162130000","92","15640","170.0","4.181818181818182","false"
"Tcp","4","75866","54","21","-1","16","3995000","94","15748","167.0","4.2727272727272725","false"
"Tcp","4","75866","54","80","-1","17","668424000","30","3592","119.0","1.3636363636363635","false"
"Tcp","4","75866","54","80","-1","16","3951000","32","3712","116.0","1.4545454545454546","false"
"Icmp","4","75866","74","-1","-1","-1","82594000","96","15892","165.0","4.363636363636363","false"
"Icmp","4","75866","74","-1","-1","-1","42037000","35","4709","134.0","1.5217391304347827","false"
"Tcp","4","75866","54","80","-1","16","38001000","98","16000","163.0","4.260869565217392","false"
"Tcp","4","75867","54","80","-1","16","35000","100","16108","161.0","4.3478260869565215","false"
"Tcp","4","75867","54","21","-1","16","3990000","102","16228","159.0","4.434782608695652","false"
