"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)filter(org.jnetpcap.protocol.tcpip.Tcp.flags==hex:02)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)filter(org.jnetpcap.protocol.tcpip.Tcp.flags==hex:02)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)filter(org.jnetpcap.protocol.tcpip.Tcp.flags==hex:02)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)filter(org.jnetpcap.protocol.tcpip.Tcp.flags==hex:02)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)filter(org.jnetpcap.protocol.tcpip.Tcp.flags==hex:02)).enc_rateps","attack"
"Tcp","4","75844","54","80","-1","16","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75845","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75847","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75848","54","80","-1","17","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75850","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75851","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75852","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75853","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75854","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75855","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75856","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75857","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75858","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75859","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75859","66","80","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75859","729","80","-1","24","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75860","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75861","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75862","54","80","-1","16","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75862","54","80","-1","16","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75862","54","80","-1","16","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75862","54","80","-1","16","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75862","66","80","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75862","66","80","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75862","54","80","-1","16","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75862","54","80","-1","16","-1","-1","-1","-1.0","-1.0","false"
"Http","4","75862","715","80","-1","24","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75862","66","80","-1","2","0","1","66","66.0","1.0","false"
"Http","4","75863","686","80","-1","24","-1","-1","-1","-1.0","-1.0","false"
"Http","4","75863","694","80","-1","24","-1","-1","-1","-1.0","-1.0","false"
"Http","4","75863","687","80","-1","24","-1","-1","-1","-1.0","-1.0","false"
"Http","4","75863","719","80","-1","24","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75863","54","80","-1","16","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75863","54","80","-1","16","-1","-1","-1","-1.0","-1.0","false"
"Http","4","75863","785","80","-1","24","-1","-1","-1","-1.0","-1.0","false"
"Http","4","75863","800","80","-1","24","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75863","54","80","-1","16","-1","-1","-1","-1.0","-1.0","false"
