"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_rateps","attack"
"Tcp","4","75844","54","80","-1","16","0","1","54","54.0","1.0","false"
"Icmp","4","75845","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75847","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75848","54","80","-1","17","5001068000","2","108","54.0","0.4","false"
"Icmp","4","75850","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75851","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75852","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75853","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75854","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75855","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75856","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75857","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75858","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75859","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75859","66","80","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75859","729","80","-1","24","70000","3","849","283.0","3.0","false"
"Icmp","4","75860","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75861","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75862","54","80","-1","16","91000","5","957","191.0","2.5","false"
"Tcp","4","75862","54","80","-1","16","83000","7","1065","152.0","3.5","false"
"Tcp","4","75862","54","80","-1","16","31000","9","1173","130.0","4.5","false"
"Tcp","4","75862","54","80","-1","16","55000","11","1281","116.0","5.5","false"
"Tcp","4","75862","66","80","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75862","66","80","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75862","54","80","-1","16","3080000","2","120","60.0","2.0","false"
"Tcp","4","75862","54","80","-1","16","3082000","2","120","60.0","2.0","false"
"Http","4","75862","715","80","-1","24","2964000","3","835","278.0","3.0","false"
"Tcp","4","75862","66","80","-1","2","0","1","66","66.0","1.0","false"
"Http","4","75863","686","80","-1","24","32000","3","806","268.0","3.0","false"
"Http","4","75863","694","80","-1","24","49000","3","814","271.0","3.0","false"
"Http","4","75863","687","80","-1","24","7877000","4","1522","380.0","4.0","false"
"Http","4","75863","719","80","-1","24","11750000","4","1525","381.0","4.0","false"
"Tcp","4","75863","54","80","-1","16","26684000","13","1389","106.0","4.333333333333333","false"
"Tcp","4","75863","54","80","-1","16","108156000","5","1612","322.0","5.0","false"
"Http","4","75863","785","80","-1","24","128120000","5","2310","462.0","5.0","false"
"Http","4","75863","800","80","-1","24","193093000","6","3025","504.0","6.0","false"
"Tcp","4","75863","54","80","-1","16","109113000","15","2186","145.0","5.0","false"
"Tcp","4","75863","66","21","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75863","54","21","-1","16","3993000","3","174","58.0","3.0","false"
"Icmp","4","75863","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75863","66","21","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75864","54","21","-1","16","3984000","3","174","58.0","3.0","false"
"Tcp","4","75864","54","80","-1","17","0","1","54","54.0","1.0","false"
"Tcp","4","75864","54","80","-1","16","5426000","2","120","60.0","2.0","false"
"Icmp","4","75864","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75864","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75864","54","21","-1","17","590374000","5","298","59.0","5.0","false"
"Tcp","4","75864","66","21","-1","2","3988000","3","174","58.0","3.0","false"
"Tcp","4","75864","54","21","-1","16","3988000","3","174","58.0","3.0","false"
"Tcp","4","75864","54","21","-1","16","3988000","3","174","58.0","3.0","false"
"Icmp","4","75864","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75864","54","80","-1","16","2433614000","7","3201","457.0","3.5","false"
"Tcp","4","75864","54","80","-1","16","3932000","9","3309","367.0","4.5","false"
"Tcp","4","75864","54","80","-1","16","34000","11","3417","310.0","5.5","false"
"Tcp","4","75864","54","21","-1","17","599347000","5","298","59.0","5.0","false"
"Icmp","4","75864","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75865","54","21","-1","16","3981000","2","120","60.0","2.0","false"
"Tcp","4","75865","70","21","-1","24","67000","4","244","61.0","4.0","false"
"Tcp","4","75865","54","21","-1","17","573835000","5","298","59.0","5.0","false"
"Tcp","4","75865","66","21","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75865","54","21","-1","16","4058000","3","174","58.0","3.0","false"
"Icmp","4","75865","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75866","66","21","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75866","54","21","-1","16","3995000","3","174","58.0","3.0","false"
"Tcp","4","75866","54","80","-1","17","0","1","54","54.0","1.0","false"
"Tcp","4","75866","54","80","-1","16","3951000","2","120","60.0","2.0","false"
"Icmp","4","75866","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75866","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75866","54","80","-1","16","4894100000","5","922","184.0","1.0","false"
"Tcp","4","75867","54","80","-1","16","4894320000","6","1630","271.0","1.2","false"
"Tcp","4","75867","54","21","-1","16","3990000","2","120","60.0","2.0","false"
