"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_rateps","attack"
"Tcp","4","75844","54","80","-1","16","0","1","54","54.0","1.0","false"
"Icmp","4","75845","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75847","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75848","54","80","-1","17","5001068000","2","108","54.0","0.4","false"
"Icmp","4","75850","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75851","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75852","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75853","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75854","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75855","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75856","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75857","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75858","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75859","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75859","66","80","-1","2","4033000","4","228","57.0","0.25","false"
"Tcp","4","75859","729","80","-1","24","70000","5","957","191.0","0.3125","false"
"Icmp","4","75860","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75861","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75862","54","80","-1","16","91000","7","1065","152.0","0.3888888888888889","false"
"Tcp","4","75862","54","80","-1","16","83000","9","1173","130.0","0.5","false"
"Tcp","4","75862","54","80","-1","16","31000","11","1281","116.0","0.6111111111111112","false"
"Tcp","4","75862","54","80","-1","16","55000","13","1389","106.0","0.7222222222222222","false"
"Tcp","4","75862","66","80","-1","2","1921000","15","1509","100.0","0.8333333333333334","false"
"Tcp","4","75862","66","80","-1","2","35000","17","1641","96.0","0.9444444444444444","false"
"Tcp","4","75862","54","80","-1","16","35000","20","1815","90.0","1.0526315789473684","false"
"Tcp","4","75862","54","80","-1","16","2877000","22","2575","117.0","1.1578947368421053","false"
"Http","4","75862","715","80","-1","24","87000","23","3290","143.0","1.2105263157894737","false"
"Tcp","4","75862","66","80","-1","2","35000","25","4096","163.0","1.3157894736842106","false"
"Http","4","75863","686","80","-1","24","32000","27","4836","179.0","1.4210526315789473","false"
"Http","4","75863","694","80","-1","24","49000","29","5584","192.0","1.5263157894736843","false"
"Http","4","75863","687","80","-1","24","2837000","31","6960","224.0","1.631578947368421","false"
"Http","4","75863","719","80","-1","24","3959000","33","8377","253.0","1.736842105263158","false"
"Tcp","4","75863","54","80","-1","16","6714000","35","9141","261.0","1.8421052631578947","false"
"Tcp","4","75863","54","80","-1","16","84000","37","9249","249.0","1.9473684210526316","false"
"Http","4","75863","785","80","-1","24","23879000","39","10088","258.0","2.0526315789473686","false"
"Http","4","75863","800","80","-1","24","1987000","41","11725","285.0","2.1578947368421053","false"
"Tcp","4","75863","54","80","-1","16","109113000","43","12522","291.0","2.15","false"
"Tcp","4","75863","66","21","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75863","54","21","-1","16","3993000","3","174","58.0","3.0","false"
"Icmp","4","75863","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75863","66","21","-1","2","154130000","6","364","60.0","6.0","false"
"Tcp","4","75864","54","21","-1","16","3984000","8","472","59.0","8.0","false"
"Tcp","4","75864","54","80","-1","17","1076239000","44","12576","285.0","2.2","false"
"Tcp","4","75864","54","80","-1","16","5426000","46","12696","276.0","2.3","false"
"Icmp","4","75864","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75864","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75864","54","21","-1","17","3988000","13","770","59.0","6.5","false"
"Tcp","4","75864","66","21","-1","2","3988000","13","770","59.0","6.5","false"
"Tcp","4","75864","54","21","-1","16","3988000","13","770","59.0","6.5","false"
"Tcp","4","75864","54","21","-1","16","3988000","13","770","59.0","6.5","false"
"Icmp","4","75864","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75864","54","80","-1","16","66000","50","13662","273.0","2.380952380952381","false"
"Tcp","4","75864","54","80","-1","16","3932000","51","13716","268.0","2.4285714285714284","false"
"Tcp","4","75864","54","80","-1","16","34000","53","13824","260.0","2.5238095238095237","false"
"Tcp","4","75864","54","21","-1","17","599347000","15","894","59.0","7.5","false"
"Icmp","4","75864","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75865","54","21","-1","16","4003000","18","1068","59.0","9.0","false"
"Tcp","4","75865","70","21","-1","24","67000","19","1138","59.0","9.5","false"
"Tcp","4","75865","54","21","-1","17","573835000","20","1192","59.0","10.0","false"
"Tcp","4","75865","66","21","-1","2","153590000","21","1258","59.0","7.0","false"
"Tcp","4","75865","54","21","-1","16","4058000","23","1366","59.0","7.666666666666667","false"
"Icmp","4","75865","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75866","66","21","-1","2","162130000","26","1556","59.0","8.666666666666666","false"
"Tcp","4","75866","54","21","-1","16","3995000","28","1664","59.0","9.333333333333334","false"
"Tcp","4","75866","54","80","-1","17","1000588000","57","14790","259.0","2.590909090909091","false"
"Tcp","4","75866","54","80","-1","16","3951000","59","14910","252.0","2.6818181818181817","false"
"Icmp","4","75866","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75866","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75866","54","80","-1","16","323191000","62","15887","256.0","2.6956521739130435","false"
"Tcp","4","75867","54","80","-1","16","35000","64","15995","249.0","2.782608695652174","false"
"Tcp","4","75867","54","21","-1","16","3990000","32","1908","59.0","8.0","false"
"Tcp","4","75867","70","21","-1","24","83000","34","2032","59.0","8.5","false"
"Icmp","4","75867","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
