"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.destination)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.destination)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.destination)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.destination)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.destination)).enc_rateps","attack"
"Icmp","2","70748","98","-1","-1","-1","0","1","98","98.0","0.1111111111111111","true"
"Icmp","2","70748","98","-1","-1","-1","0","1","98","98.0","0.1111111111111111","false"
"Icmp","2","70748","98","-1","-1","-1","1002326000","2","196","98.0","0.2222222222222222","false"
"Icmp","2","70749","98","-1","-1","-1","1002340000","2","196","98.0","0.2222222222222222","false"
"Icmp","2","70749","98","-1","-1","-1","1001055000","3","294","98.0","0.3333333333333333","true"
"Icmp","2","70749","98","-1","-1","-1","1001058000","3","294","98.0","0.3333333333333333","false"
"Udp","2","70749","175","-1","1900","-1","0","1","175","175.0","0.14285714285714285","false"
"Icmp","2","70749","98","-1","-1","-1","1001021000","4","392","98.0","0.4444444444444444","true"
"Icmp","2","70749","98","-1","-1","-1","1001030000","4","392","98.0","0.4","false"
"Icmp","2","70749","98","-1","-1","-1","1002114000","5","490","98.0","0.5","false"
"Icmp","2","70749","98","-1","-1","-1","1002213000","5","490","98.0","0.5","false"
"Icmp","2","70749","98","-1","-1","-1","1000985000","6","588","98.0","0.6","false"
"Icmp","2","70749","98","-1","-1","-1","1000876000","6","588","98.0","0.6","false"
"Udp","2","70749","175","-1","1900","-1","3000116000","2","350","175.0","0.2857142857142857","true"
"Icmp","2","70749","98","-1","-1","-1","1001089000","7","686","98.0","0.7","false"
"Icmp","2","70749","98","-1","-1","-1","1001081000","7","686","98.0","0.7","false"
"Icmp","2","70749","98","-1","-1","-1","1001136000","8","784","98.0","0.8","false"
"Icmp","2","70749","98","-1","-1","-1","1001147000","8","784","98.0","0.8","false"
"Icmp","2","70749","98","-1","-1","-1","1001055000","9","882","98.0","0.9","false"
"Icmp","2","70749","98","-1","-1","-1","1001054000","9","882","98.0","0.9","false"
"Udp","2","70749","175","-1","1900","-1","3000274000","3","525","175.0","0.42857142857142855","false"
"Icmp","2","70749","98","-1","-1","-1","1001091000","10","980","98.0","1.0","false"
"Icmp","2","70749","98","-1","-1","-1","1001099000","10","980","98.0","1.0","false"
"Icmp","2","70758","98","-1","-1","-1","1001256000","11","1078","98.0","0.5789473684210527","false"
"Icmp","2","70758","98","-1","-1","-1","1001262000","11","1078","98.0","0.5789473684210527","true"
"Icmp","2","70758","98","-1","-1","-1","1000821000","12","1176","98.0","0.631578947368421","false"
"Icmp","2","70758","98","-1","-1","-1","1000842000","12","1176","98.0","0.631578947368421","false"
"Udp","2","70758","175","-1","1900","-1","3068633000","4","700","175.0","0.25","false"
"Icmp","2","70758","98","-1","-1","-1","1002143000","13","1274","98.0","0.6842105263157895","false"
"Icmp","2","70758","98","-1","-1","-1","1002114000","13","1274","98.0","0.6842105263157895","false"
"Icmp","2","70758","98","-1","-1","-1","1001979000","14","1372","98.0","0.7368421052631579","false"
"Icmp","2","70758","98","-1","-1","-1","1001967000","14","1372","98.0","0.7368421052631579","false"
"Icmp","2","70758","98","-1","-1","-1","1002137000","15","1470","98.0","0.7894736842105263","false"
"Icmp","2","70758","98","-1","-1","-1","1002156000","15","1470","98.0","0.7894736842105263","false"
"Udp","2","70758","175","-1","1900","-1","3000692000","5","875","175.0","0.3125","false"
"Icmp","2","70758","98","-1","-1","-1","1001987000","16","1568","98.0","0.8421052631578947","false"
"Icmp","2","70758","98","-1","-1","-1","1001994000","16","1568","98.0","0.8421052631578947","false"
"Icmp","2","70758","98","-1","-1","-1","1001802000","17","1666","98.0","0.8947368421052632","false"
"Icmp","2","70758","98","-1","-1","-1","1001790000","17","1666","98.0","0.8947368421052632","false"
"Icmp","2","70758","98","-1","-1","-1","1001499000","18","1764","98.0","0.9473684210526315","false"
"Icmp","2","70758","98","-1","-1","-1","1001486000","18","1764","98.0","0.9473684210526315","false"
"Udp","2","70758","175","-1","1900","-1","3000328000","6","1050","175.0","0.375","false"
"Icmp","2","70758","98","-1","-1","-1","1002053000","19","1862","98.0","1.0","false"
"Icmp","2","70758","98","-1","-1","-1","1002055000","19","1862","98.0","1.0","false"
"Icmp","2","70758","98","-1","-1","-1","1001400000","20","1960","98.0","1.0526315789473684","false"
"Icmp","2","70758","98","-1","-1","-1","1001435000","20","1960","98.0","1.0526315789473684","false"
"Icmp","2","70768","98","-1","-1","-1","1001710000","21","2058","98.0","0.7241379310344828","false"
"Icmp","2","70768","98","-1","-1","-1","1001700000","21","2058","98.0","0.7241379310344828","false"
"Icmp","2","70768","98","-1","-1","-1","1001129000","22","2156","98.0","0.7586206896551724","false"
"Icmp","2","70768","98","-1","-1","-1","1001111000","22","2156","98.0","0.7586206896551724","false"
"Icmp","2","70768","98","-1","-1","-1","1001002000","23","2254","98.0","0.7931034482758621","false"
"Icmp","2","70768","98","-1","-1","-1","1000993000","23","2254","98.0","0.7931034482758621","false"
"Udp","2","70768","242","-1","17500","-1","0","1","242","242.0","0.16666666666666666","false"
"Udp","2","70768","242","-1","17500","-1","0","1","242","242.0","0.16666666666666666","false"
"Icmp","2","70768","98","-1","-1","-1","1001101000","24","2352","98.0","0.8275862068965517","false"
"Icmp","2","70768","98","-1","-1","-1","1001105000","24","2352","98.0","0.8275862068965517","false"
"Icmp","2","70768","98","-1","-1","-1","1001108000","25","2450","98.0","0.8620689655172413","false"
"Icmp","2","70768","98","-1","-1","-1","1001104000","25","2450","98.0","0.8620689655172413","false"
"Icmp","2","70768","98","-1","-1","-1","1001006000","26","2548","98.0","0.896551724137931","false"
"Icmp","2","70768","98","-1","-1","-1","1001017000","26","2548","98.0","0.896551724137931","false"
"Icmp","2","70768","98","-1","-1","-1","1000991000","27","2646","98.0","0.9310344827586207","false"
"Icmp","2","70768","98","-1","-1","-1","1000973000","27","2646","98.0","0.9310344827586207","false"
"Icmp","2","70768","98","-1","-1","-1","1001245000","28","2744","98.0","0.9655172413793104","false"
"Icmp","2","70768","98","-1","-1","-1","1001261000","28","2744","98.0","0.9655172413793104","false"
"Icmp","2","70768","98","-1","-1","-1","1001087000","29","2842","98.0","1.0","false"
"Icmp","2","70768","98","-1","-1","-1","1001127000","29","2842","98.0","1.0","false"
"Icmp","2","70768","98","-1","-1","-1","1001019000","30","2940","98.0","1.0344827586206897","false"
"Icmp","2","70768","98","-1","-1","-1","1000974000","30","2940","98.0","1.0344827586206897","false"
"Icmp","2","70778","98","-1","-1","-1","1000997000","31","3038","98.0","0.7948717948717948","false"
"Icmp","2","70778","98","-1","-1","-1","1001002000","31","3038","98.0","0.7948717948717948","false"
"Icmp","2","70778","98","-1","-1","-1","1001149000","32","3136","98.0","0.8205128205128205","false"
"Icmp","2","70778","98","-1","-1","-1","1001143000","32","3136","98.0","0.8205128205128205","false"
"Icmp","2","70778","98","-1","-1","-1","1000968000","33","3234","98.0","0.8461538461538461","false"
"Icmp","2","70778","98","-1","-1","-1","1000964000","33","3234","98.0","0.8461538461538461","false"
"Icmp","2","70778","98","-1","-1","-1","1001135000","34","3332","98.0","0.8717948717948718","false"
"Icmp","2","70778","98","-1","-1","-1","1001143000","34","3332","98.0","0.8717948717948718","false"
"Icmp","2","70778","98","-1","-1","-1","1000973000","35","3430","98.0","0.8974358974358975","false"
"Icmp","2","70778","98","-1","-1","-1","1000974000","35","3430","98.0","0.8974358974358975","false"
"Icmp","2","70778","98","-1","-1","-1","1001239000","36","3528","98.0","0.9230769230769231","false"
"Icmp","2","70778","98","-1","-1","-1","1001241000","36","3528","98.0","0.9230769230769231","false"
"Icmp","2","70778","98","-1","-1","-1","1000990000","37","3626","98.0","0.9487179487179487","false"
"Icmp","2","70778","98","-1","-1","-1","1000986000","37","3626","98.0","0.9487179487179487","false"
"Icmp","2","70778","98","-1","-1","-1","1001004000","38","3724","98.0","0.9743589743589743","false"
"Icmp","2","70778","98","-1","-1","-1","1001014000","38","3724","98.0","0.9743589743589743","false"
"Icmp","2","70778","98","-1","-1","-1","1001129000","39","3822","98.0","1.0","false"
"Icmp","2","70778","98","-1","-1","-1","1001120000","39","3822","98.0","1.0","false"
"Icmp","2","70778","98","-1","-1","-1","1001107000","40","3920","98.0","1.0256410256410255","false"
"Icmp","2","70778","98","-1","-1","-1","1001103000","40","3920","98.0","1.0256410256410255","false"
"Udp","2","70788","92","-1","137","-1","0","1","92","92.0","0.1111111111111111","false"
"Icmp","2","70788","98","-1","-1","-1","1001990000","41","4018","98.0","0.8367346938775511","false"
"Icmp","2","70788","98","-1","-1","-1","1001998000","41","4018","98.0","0.8367346938775511","false"
"Udp","2","70788","92","-1","137","-1","749918000","2","184","92.0","0.2222222222222222","false"
"Udp","2","70788","92","-1","137","-1","750024000","3","276","92.0","0.3333333333333333","false"
"Icmp","2","70788","98","-1","-1","-1","1002121000","42","4116","98.0","0.8571428571428571","false"
"Icmp","2","70788","98","-1","-1","-1","1002113000","42","4116","98.0","0.8571428571428571","false"
"Icmp","2","70788","98","-1","-1","-1","1002120000","43","4214","98.0","0.8775510204081632","false"
"Icmp","2","70788","98","-1","-1","-1","1002125000","43","4214","98.0","0.8775510204081632","false"
"Icmp","2","70788","98","-1","-1","-1","1001998000","44","4312","98.0","0.8979591836734694","false"
"Icmp","2","70788","98","-1","-1","-1","1002018000","44","4312","98.0","0.8979591836734694","false"
"Icmp","2","70788","98","-1","-1","-1","1002118000","45","4410","98.0","0.9183673469387755","false"
"Icmp","2","70788","98","-1","-1","-1","1002099000","45","4410","98.0","0.9183673469387755","false"
"Icmp","2","70788","98","-1","-1","-1","1002125000","46","4508","98.0","0.9387755102040817","false"
"Icmp","2","70788","98","-1","-1","-1","1002127000","46","4508","98.0","0.9387755102040817","false"
"Icmp","2","70788","98","-1","-1","-1","1001972000","47","4606","98.0","0.9591836734693877","false"
"Icmp","2","70788","98","-1","-1","-1","1001963000","47","4606","98.0","0.9591836734693877","false"
"Icmp","2","70788","98","-1","-1","-1","1002139000","48","4704","98.0","0.9795918367346939","false"
"Icmp","2","70788","98","-1","-1","-1","1002137000","48","4704","98.0","0.9795918367346939","false"
"Icmp","2","70788","98","-1","-1","-1","1001995000","49","4802","98.0","1.0","false"
"Icmp","2","70788","98","-1","-1","-1","1002001000","49","4802","98.0","1.0","false"
"Icmp","2","70788","98","-1","-1","-1","1002121000","50","4900","98.0","1.0204081632653061","false"
"Icmp","2","70788","98","-1","-1","-1","1002119000","50","4900","98.0","1.0204081632653061","false"
"Icmp","2","70798","98","-1","-1","-1","1002092000","51","4998","98.0","0.864406779661017","false"
"Icmp","2","70798","98","-1","-1","-1","1002089000","51","4998","98.0","0.864406779661017","false"
"Icmp","2","70798","98","-1","-1","-1","1002100000","52","5096","98.0","0.8813559322033898","false"
"Icmp","2","70798","98","-1","-1","-1","1002099000","52","5096","98.0","0.8813559322033898","false"
"Icmp","2","70798","98","-1","-1","-1","1002000000","53","5194","98.0","0.8983050847457628","false"
"Icmp","2","70798","98","-1","-1","-1","1001989000","53","5194","98.0","0.8983050847457628","false"
"Udp","2","70798","242","-1","17500","-1","30011381000","2","484","242.0","0.05555555555555555","false"
"Udp","2","70798","242","-1","17500","-1","30011544000","2","484","242.0","0.05555555555555555","false"
"Icmp","2","70798","98","-1","-1","-1","1002012000","54","5292","98.0","0.9152542372881356","false"
"Icmp","2","70798","98","-1","-1","-1","1002033000","54","5292","98.0","0.9152542372881356","false"
"Icmp","2","70798","98","-1","-1","-1","1001361000","55","5390","98.0","0.9322033898305084","false"
"Icmp","2","70799","98","-1","-1","-1","1001351000","55","5390","98.0","0.9322033898305084","false"
"Icmp","2","70799","98","-1","-1","-1","1001889000","56","5488","98.0","0.9491525423728814","false"
"Icmp","2","70799","98","-1","-1","-1","1001896000","56","5488","98.0","0.9491525423728814","false"
"Icmp","2","70799","98","-1","-1","-1","1002275000","57","5586","98.0","0.9661016949152542","false"
"Icmp","2","70799","98","-1","-1","-1","1002342000","57","5586","98.0","0.9661016949152542","false"
"Icmp","2","70799","98","-1","-1","-1","1001947000","58","5684","98.0","0.9830508474576272","false"
"Icmp","2","70799","98","-1","-1","-1","1001950000","58","5684","98.0","0.9830508474576272","false"
"Icmp","2","70799","98","-1","-1","-1","1002125000","59","5782","98.0","1.0","false"
"Icmp","2","70799","98","-1","-1","-1","1002114000","59","5782","98.0","1.0","false"
"Icmp","2","70799","98","-1","-1","-1","1001984000","60","5880","98.0","1.0","false"
"Icmp","2","70799","98","-1","-1","-1","1001990000","60","5880","98.0","1.0","false"
"Icmp","2","70808","98","-1","-1","-1","1002137000","61","5978","98.0","0.8840579710144928","false"
"Icmp","2","70808","98","-1","-1","-1","1002141000","61","5978","98.0","0.8840579710144928","false"
"Icmp","2","70808","98","-1","-1","-1","1002106000","62","6076","98.0","0.8985507246376812","false"
"Icmp","2","70808","98","-1","-1","-1","1002130000","62","6076","98.0","0.8985507246376812","false"
"Icmp","2","70808","98","-1","-1","-1","1002018000","63","6174","98.0","0.9130434782608695","false"
"Icmp","2","70808","98","-1","-1","-1","1001973000","63","6174","98.0","0.9130434782608695","false"
"Icmp","2","70808","98","-1","-1","-1","1002096000","64","6272","98.0","0.927536231884058","false"
"Icmp","2","70808","98","-1","-1","-1","1002118000","64","6272","98.0","0.927536231884058","false"
"Udp","2","70809","175","-1","1900","-1","45942060000","7","1225","175.0","0.10606060606060606","false"
"Icmp","2","70809","98","-1","-1","-1","1002002000","65","6370","98.0","0.9420289855072463","false"
"Icmp","2","70809","98","-1","-1","-1","1001984000","65","6370","98.0","0.9420289855072463","false"
"Icmp","2","70809","98","-1","-1","-1","1002249000","66","6468","98.0","0.9565217391304348","false"
"Icmp","2","70809","98","-1","-1","-1","1002254000","66","6468","98.0","0.9565217391304348","false"
"Icmp","2","70809","98","-1","-1","-1","1001975000","67","6566","98.0","0.9710144927536232","false"
"Icmp","2","70809","98","-1","-1","-1","1001969000","67","6566","98.0","0.9710144927536232","false"
"Udp","2","70809","175","-1","1900","-1","3000763000","8","1400","175.0","0.11940298507462686","false"
"Icmp","2","70809","98","-1","-1","-1","1002027000","68","6664","98.0","0.9855072463768116","false"
"Icmp","2","70809","98","-1","-1","-1","1002060000","68","6664","98.0","0.9855072463768116","false"
"Icmp","2","70809","98","-1","-1","-1","1002213000","69","6762","98.0","0.9857142857142858","false"
"Icmp","2","70809","98","-1","-1","-1","1002198000","69","6762","98.0","0.9857142857142858","false"
"Icmp","2","70809","98","-1","-1","-1","1001980000","70","6860","98.0","1.0","false"
"Icmp","2","70809","98","-1","-1","-1","1001963000","70","6860","98.0","1.0","false"
"Udp","2","70818","175","-1","1900","-1","2999984000","9","1575","175.0","0.11842105263157894","false"
"Icmp","2","70818","98","-1","-1","-1","1002067000","71","6958","98.0","0.8987341772151899","false"
"Icmp","2","70818","98","-1","-1","-1","1002063000","71","6958","98.0","0.8987341772151899","false"
"Icmp","2","70818","98","-1","-1","-1","1002169000","72","7056","98.0","0.9113924050632911","false"
"Icmp","2","70818","98","-1","-1","-1","1002173000","72","7056","98.0","0.9113924050632911","false"
"Icmp","2","70819","98","-1","-1","-1","1001999000","73","7154","98.0","0.9240506329113924","false"
"Icmp","2","70819","98","-1","-1","-1","1002013000","73","7154","98.0","0.9240506329113924","false"
"Udp","2","70819","175","-1","1900","-1","3068684000","10","1750","175.0","0.12987012987012986","false"
"Icmp","2","70819","98","-1","-1","-1","1002210000","75","7350","98.0","0.9493670886075949","false"
"Icmp","2","70819","98","-1","-1","-1","1002096000","74","7252","98.0","0.9367088607594937","false"
"Icmp","2","70819","98","-1","-1","-1","1002210000","75","7350","98.0","0.9493670886075949","false"
"Icmp","2","70819","98","-1","-1","-1","1002197000","75","7350","98.0","0.9493670886075949","false"
"Icmp","2","70819","98","-1","-1","-1","1001973000","76","7448","98.0","0.9620253164556962","false"
"Icmp","2","70819","98","-1","-1","-1","1001993000","76","7448","98.0","0.9620253164556962","false"
"Udp","2","70819","175","-1","1900","-1","3000747000","11","1925","175.0","0.14285714285714285","false"
"Icmp","2","70819","98","-1","-1","-1","1002006000","77","7546","98.0","0.9625","false"
"Icmp","2","70819","98","-1","-1","-1","1001996000","77","7546","98.0","0.9625","false"
"Icmp","2","70819","98","-1","-1","-1","1002837000","78","7644","98.0","0.975","false"
"Icmp","2","70819","98","-1","-1","-1","1001472000","79","7742","98.0","0.9875","false"
"Icmp","2","70819","98","-1","-1","-1","1001440000","79","7742","98.0","0.9875","false"
"Icmp","2","70819","98","-1","-1","-1","1001472000","79","7742","98.0","0.9875","false"
"Udp","2","70819","175","-1","1900","-1","3000349000","12","2100","175.0","0.15584415584415584","false"
"Icmp","2","70819","98","-1","-1","-1","1002040000","80","7840","98.0","1.0","false"
"Icmp","2","70819","98","-1","-1","-1","1002039000","80","7840","98.0","1.0","false"
"Icmp","2","70885","98","-1","-1","-1","1001993000","81","7938","98.0","0.5586206896551724","false"
"Icmp","2","70885","98","-1","-1","-1","1002001000","81","7938","98.0","0.5586206896551724","false"
"Icmp","2","70885","98","-1","-1","-1","1002110000","82","8036","98.0","0.5655172413793104","false"
"Icmp","2","70885","98","-1","-1","-1","1002102000","82","8036","98.0","0.5655172413793104","false"
"Udp","2","70885","175","-1","1900","-1","3068688000","13","2275","175.0","0.09090909090909091","false"
"Icmp","2","70885","98","-1","-1","-1","1001840000","83","8134","98.0","0.5724137931034483","false"
"Icmp","2","70885","98","-1","-1","-1","1001847000","83","8134","98.0","0.5724137931034483","false"
"Icmp","2","70885","98","-1","-1","-1","1002248000","84","8232","98.0","0.5793103448275863","false"
"Icmp","2","70885","98","-1","-1","-1","1002229000","84","8232","98.0","0.5793103448275863","false"
"Udp","2","70885","242","-1","17500","-1","31210318000","3","726","242.0","0.024390243902439025","false"
"Udp","2","70885","242","-1","17500","-1","31213639000","3","726","242.0","0.024390243902439025","false"
"Icmp","2","70885","98","-1","-1","-1","1002022000","85","8330","98.0","0.5862068965517241","false"
"Icmp","2","70885","98","-1","-1","-1","1002016000","85","8330","98.0","0.5862068965517241","false"
"Udp","2","70885","175","-1","1900","-1","3000659000","14","2450","175.0","0.0979020979020979","false"
"Icmp","2","70885","98","-1","-1","-1","1002224000","86","8428","98.0","0.593103448275862","false"
"Icmp","2","70885","98","-1","-1","-1","1002237000","86","8428","98.0","0.593103448275862","false"
"Udp","2","70889","66","-1","5355","-1","0","1","66","66.0","0.3333333333333333","false"
"Udp","2","70889","64","-1","5355","-1","173858000","2","130","65.0","0.6666666666666666","false"
"Udp","2","70889","342","-1","67","-1","62899231000","4","1068","267.0","0.031496062992125984","false"
"Ip4","2","70889","54","-1","-1","-1","0","1","54","54.0","0.3333333333333333","false"
"Udp","2","70889","68","-1","5355","-1","189928000","3","198","66.0","1.0","false"
"Udp","2","70889","66","-1","5355","-1","46413000","4","264","66.0","1.3333333333333333","false"
"Ip4","2","70889","54","-1","-1","-1","209976000","2","108","54.0","0.6666666666666666","false"
"Udp","2","70889","64","-1","5355","-1","174123000","5","328","65.0","1.6666666666666667","false"
"Udp","2","70889","68","-1","5355","-1","189100000","6","396","66.0","2.0","false"
"Ip4","2","70889","54","-1","-1","-1","508329000","3","162","54.0","1.0","false"
"Ip4","2","70889","54","-1","-1","-1","102234000","4","216","54.0","1.3333333333333333","false"
"Ip4","2","70889","54","-1","-1","-1","2451000","5","270","54.0","1.6666666666666667","false"
"Udp","2","70889","68","-1","5355","-1","413211000","7","464","66.0","2.3333333333333335","false"
"Udp","2","70889","66","-1","5355","-1","29291000","8","530","66.0","2.6666666666666665","false"
"Udp","2","70889","65","-1","5355","-1","137000","9","595","66.0","3.0","false"
"Udp","2","70889","175","-1","1900","-1","62995289000","15","2625","175.0","0.10204081632653061","false"
"Udp","2","70889","171","-1","1900","-1","65545000","16","2796","174.0","0.10884353741496598","false"
"Udp","2","70889","175","-1","1900","-1","25342000","17","2971","174.0","0.11564625850340136","false"
"Udp","2","70889","92","-1","137","-1","107072550000","4","368","92.0","0.036036036036036036","false"
"Udp","2","70889","175","-1","1900","-1","67103000","18","3146","174.0","0.12244897959183673","false"
"Ip4","2","70889","62","-1","-1","-1","270395000","6","332","55.0","2.0","false"
"Udp","2","70889","92","-1","137","-1","126726000","5","460","92.0","0.04504504504504504","false"
"Ip4","2","70889","62","-1","-1","-1","117239000","7","394","56.0","2.3333333333333335","false"
"Udp","2","70889","68","-1","5355","-1","380941000","10","663","66.0","3.3333333333333335","false"
"Udp","2","70889","175","-1","1900","-1","264207000","19","3321","174.0","0.1292517006802721","false"
"Udp","2","70889","110","-1","137","-1","335534000","6","570","95.0","0.05405405405405406","false"
"Udp","2","70889","110","-1","137","-1","1957000","7","680","97.0","0.06306306306306306","false"
"Udp","2","70889","110","-1","137","-1","54000","8","790","98.0","0.07207207207207207","false"
"Udp","2","70889","92","-1","137","-1","285095000","9","882","98.0","0.08108108108108109","false"
"Icmp","2","70889","98","-1","-1","-1","63608168000","87","8526","98.0","0.58","false"
"Icmp","2","70889","98","-1","-1","-1","12000","88","8624","98.0","0.5866666666666667","false"
"Icmp","2","70889","98","-1","-1","-1","63608076000","87","8526","98.0","0.58","false"
"Icmp","2","70889","98","-1","-1","-1","0","88","8624","98.0","0.5866666666666667","false"
"Icmp","2","70889","98","-1","-1","-1","3239000","89","8722","98.0","0.5933333333333334","false"
"Icmp","2","70890","98","-1","-1","-1","3251000","89","8722","98.0","0.5933333333333334","false"
"Udp","2","70890","92","-1","137","-1","127095000","10","974","97.0","0.09009009009009009","false"
"Udp","2","70890","175","-1","1900","-1","691093000","20","3496","174.0","0.13513513513513514","false"
"Udp","2","70890","110","-1","137","-1","335896000","11","1084","98.0","0.0990990990990991","false"
"Udp","2","70890","110","-1","137","-1","1970000","12","1194","99.0","0.10810810810810811","false"
"Udp","2","70890","110","-1","137","-1","44000","13","1304","100.0","0.11711711711711711","false"
"Udp","2","70890","92","-1","137","-1","285002000","14","1396","99.0","0.12612612612612611","false"
"Udp","2","70890","92","-1","137","-1","127103000","15","1488","99.0","0.13513513513513514","false"
"Ip4","2","70890","54","-1","-1","-1","1503018000","8","448","56.0","2.6666666666666665","false"
"Udp","2","70890","175","-1","1900","-1","668624000","21","3671","174.0","0.14189189189189189","false"
"Udp","2","70890","175","-1","1900","-1","360000","22","3846","174.0","0.14864864864864866","false"
"Ip4","2","70890","54","-1","-1","-1","4647000","9","502","55.0","3.0","false"
"Udp","2","70890","68","-1","5355","-1","1485079000","11","731","66.0","2.75","false"
"Udp","2","70890","110","-1","137","-1","65688056000","4","836","209.0","0.03125","false"
"Udp","2","70890","110","-1","137","-1","174000","5","946","189.0","0.0390625","false"
"Udp","2","70890","110","-1","137","-1","113000","6","1056","176.0","0.046875","false"
"Icmp","2","70890","98","-1","-1","-1","1002187000","90","8820","98.0","0.6","false"
"Icmp","2","70890","98","-1","-1","-1","1002193000","90","8820","98.0","0.6","false"
"Udp","2","70890","110","-1","137","-1","336017000","16","1598","99.0","0.14414414414414414","false"
"Udp","2","70890","110","-1","137","-1","1839000","17","1708","100.0","0.15315315315315314","false"
"Udp","2","70890","110","-1","137","-1","47000","18","1818","101.0","0.16216216216216217","false"
"Udp","2","70890","64","-1","5355","-1","349180000","12","795","66.0","3.0","false"
"Udp","2","70890","175","-1","1900","-1","401019000","23","4021","174.0","0.1554054054054054","false"
"Udp","2","70890","68","-1","5355","-1","60900000","13","863","66.0","3.25","false"
"Udp","2","70890","64","-1","5355","-1","38871000","14","927","66.0","3.5","false"
"Ip4","2","70890","54","-1","-1","-1","491695000","10","556","55.0","2.5","false"
"Udp","2","70893","66","-1","5355","-1","139353000","15","993","66.0","1.875","false"
"Udp","2","70893","92","-1","137","-1","350982000","19","1910","100.0","0.16521739130434782","false"
"Udp","2","70893","66","-1","5355","-1","99762000","16","1059","66.0","2.0","false"
"Udp","2","70894","110","-1","137","-1","749434000","7","1166","166.0","0.05343511450381679","false"
"Udp","2","70894","110","-1","137","-1","2950000","8","1276","159.0","0.061068702290076333","false"
"Udp","2","70894","110","-1","137","-1","98000","9","1386","154.0","0.06870229007633588","false"
"Udp","2","70894","92","-1","137","-1","239020000","20","2002","100.0","0.17391304347826086","false"
"Udp","2","70894","110","-1","137","-1","160977000","21","2112","100.0","0.1826086956521739","false"
"Icmp","2","70894","98","-1","-1","-1","1002091000","91","8918","98.0","0.5909090909090909","false"
